Area,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Item,hg/ha_yield
Kenya,2001,895.2,6.89,19.88,Rice,10848.0
Nigeria,2016,1306.0,19.42,26.54,Potatoes,17509.0
Nigeria,2013,1069.2,2.65,21.87,Maize,9706.0
Ethiopia,2009,760.7,14.44,20.06,Potatoes,17902.0
Kenya,2009,765.1,6.58,26.91,Cassava,8138.0
Kenya,2018,1606.5,16.14,28.2,Maize,8374.0
Kenya,2001,1045.3,6.28,27.02,Wheat,6687.0
Nigeria,2014,1674.1,20.89,18.59,Sorghum,5065.0
Kenya,2004,920.2,15.11,20.02,Potatoes,16495.0
Tanzania,2001,1201.9,45.62,29.25,Sorghum,5851.0
Ethiopia,2011,1937.4,14.96,22.96,Potatoes,20848.0
India,2020,729.9,8.05,20.93,Sorghum,5712.0
India,2015,435.8,12.21,24.87,Potatoes,16764.0
Nigeria,2015,1550.3,5.08,26.03,Maize,10150.0
Tanzania,2015,810.6,20.59,19.71,Sorghum,6257.0
Kenya,2016,1092.8,23.85,22.88,Rice,9943.0
Ethiopia,2010,894.9,100.0,25.71,Maize,9955.0
Ethiopia,2002,1193.9,9.05,17.36,Rice,8924.0
Kenya,2017,767.3,12.01,22.05,Rice,10505.0
Ethiopia,2009,1037.0,9.39,17.54,Maize,9898.0
Ethiopia,2010,1257.4,17.63,18.07,Cassava,13076.0
India,2007,747.1,20.19,19.75,Wheat,6351.0
Ethiopia,2003,855.0,14.26,23.91,Wheat,6373.0
Tanzania,2019,978.4,35.48,20.71,Rice,11359.0
India,2016,599.9,9.08,19.41,Sorghum,5343.0
Tanzania,2013,952.1,32.75,22.21,Sorghum,6780.0
Kenya,2008,1141.6,22.89,17.41,Sorghum,5137.0
Tanzania,2017,960.2,14.74,23.72,Wheat,7784.0
India,2011,1005.0,11.57,26.53,Cassava,9686.0
Tanzania,2009,1093.0,100.0,21.68,Sorghum,8371.0
Ethiopia,2009,870.5,7.74,21.19,Rice,10943.0
Tanzania,2004,1341.9,18.88,23.49,Potatoes,20003.0
Nigeria,2001,1602.6,8.16,13.89,Maize,8523.0
Kenya,2011,937.5,62.08,24.15,Sorghum,5342.0
Nigeria,2018,1269.8,30.25,34.0,Cassava,6645.0
Kenya,2001,1016.1,8.65,21.51,Rice,11780.0
Tanzania,2018,1227.9,22.42,21.52,Potatoes,17646.0
Ethiopia,2017,1648.0,18.29,24.97,Rice,11149.0
Ethiopia,2005,1278.0,9.84,28.58,Maize,9282.0
Nigeria,2013,479.3,27.29,25.9,Potatoes,17035.0
Nigeria,2003,1258.9,20.32,13.38,Sorghum,6161.0
Kenya,2015,1531.5,17.68,24.25,Cassava,12046.0
Tanzania,2014,1022.4,14.39,32.29,Cassava,6212.0
Tanzania,2007,1448.5,21.01,24.49,Rice,11925.0
India,2001,858.5,17.88,17.38,Cassava,9321.0
India,2020,580.1,15.6,23.13,Potatoes,16476.0
Nigeria,2009,1149.4,8.91,16.88,Potatoes,17122.0
Nigeria,2018,485.2,57.69,26.93,Potatoes,17471.0
Nigeria,2014,1016.1,6.42,18.18,Cassava,11927.0
Kenya,2016,1550.4,20.95,22.3,Sorghum,7932.0
Kenya,2015,431.6,11.52,18.57,Maize,7030.0
Ethiopia,2004,652.2,60.8,19.81,Maize,10225.0
Nigeria,2007,738.8,7.22,27.94,Rice,11667.0
Kenya,2009,1077.8,8.26,22.41,Potatoes,18410.0
Kenya,2010,972.0,6.85,19.76,Sorghum,5906.0
Tanzania,2000,1589.7,19.27,17.42,Rice,9274.0
Ethiopia,2011,1434.0,4.96,14.51,Potatoes,15633.0
Nigeria,2003,1273.3,10.15,16.99,Cassava,11334.0
Nigeria,2015,1151.0,2.66,22.45,Rice,9982.0
India,2014,1237.6,18.04,25.92,Rice,9687.0
India,2019,798.3,9.97,19.76,Potatoes,18480.0
Ethiopia,2015,1400.0,4.52,28.28,Rice,10194.0
Tanzania,2007,710.8,35.46,19.13,Cassava,10982.0
Ethiopia,2020,1392.4,5.23,21.05,Cassava,11513.0
Tanzania,2008,1515.1,28.15,17.68,Potatoes,19520.0
Nigeria,2006,1173.8,8.49,25.96,Rice,9859.0
Kenya,2019,1038.3,53.58,30.39,Potatoes,13667.0
India,2007,1240.1,27.1,14.95,Wheat,6541.0
Kenya,2001,250.0,6.64,20.62,Rice,8986.0
India,2009,1205.8,7.14,27.06,Wheat,4425.0
Kenya,2016,1060.3,24.15,16.21,Maize,7245.0
Ethiopia,2003,1082.3,12.06,24.27,Maize,9231.0
India,2009,1347.3,12.99,26.89,Potatoes,17946.0
Tanzania,2002,1073.8,41.17,22.31,Maize,9411.0
